## NVDA Price History
**NVDA** (NVIDIA Corporation, USD)
| date | close | volume |
| 2025-10-17 | 513.58 | 19,867,800 |
| 2025-10-24 | 523.61 | 15,532,400 |
| 2025-10-31 | 517.81 | 34,006,424 |
| 2025-11-07 | 496.82 | 24,019,800 |
| 2025-11-14 | 510.18 | 28,505,746 |
| 2025-11-21 | 472.12 | 31,769,248 |
| 2025-11-28 | 492.01 | 14,386,730 |
| 2025-12-05 | 483.16 | 22,608,710 |
| 2025-12-12 | 478.53 | 21,248,102 |
| 2025-12-19 | 485.92 | 70,836,105 |
| 2025-12-26 | 487.71 | 8,842,200 |
| 2026-01-02 | 472.94 | 25,571,600 |
| 2026-01-09 | 479.28 | 18,491,036 |
| 2026-01-16 | 459.86 | 34,246,700 |
| 2026-01-23 | 465.95 | 38,000,200 |
| 2026-01-30 | 430.29 | 58,566,819 |
| 2026-02-06 | 401.14 | 53,515,311 |
| 2026-02-13 | 401.32 | 34,091,600 |
| 2026-02-20 | 397.23 | 34,015,249 |
| 2026-02-27 | 392.74 | 51,367,200 |
| 2026-03-06 | 408.96 | 31,123,900 |
| 2026-03-13 | 395.55 | 26,848,000 |
| 2026-03-20 | 381.87 | 50,853,200 |
| 2026-03-27 | 356.77 | 37,883,400 |

Data available in: `MSFT_price_history_2025-03-01_2026-03-28_1week_4ed82c.csv` (row key column: date)

## TSLA Price History
**TSLA** (Tesla, Inc., USD)
| date | close | volume |
| --- | --- | --- |
| 2025-03-07 | 262.67 | 102,369,640 |
| 2025-03-14 | 249.98 | 100,242,300 |
| 2025-03-21 | 248.71 | 132,728,700 |
| 2025-03-28 | 263.55 | 123,809,400 |
| 2025-04-04 | 239.43 | 181,229,400 |
| 2025-04-11 | 252.31 | 128,948,100 |
| 2025-04-17 | 241.37 | 83,404,800 |
| 2025-04-25 | 284.95 | 167,560,700 |
| 2025-05-02 | 287.21 | 114,454,700 |
| 2025-05-09 | 298.26 | 132,387,835 |
| 2025-05-16 | 349.98 | 95,895,700 |
| 2025-05-23 | 339.34 | 84,654,818 |
| 2025-05-30 | 346.46 | 123,474,938 |
| 2025-06-06 | 295.14 | 164,747,700 |
| 2025-06-13 | 325.31 | 128,964,300 |
| 2025-06-20 | 322.16 | 108,688,008 |
| 2025-06-27 | 323.63 | 89,067,049 |
| 2025-07-03 | 315.35 | 58,042,302 |
| 2025-07-11 | 313.51 | 79,236,442 |
| 2025-07-18 | 329.65 | 94,255,000 |
| 2025-07-25 | 316.06 | 148,227,027 |
| 2025-08-01 | 302.63 | 89,121,446 |
| 2025-08-08 | 329.65 | 91,200,319 |
| 2025-08-15 | 330.56 | 74,319,800 |
| 2025-08-22 | 340.01 | 94,016,347 |
| 2025-08-29 | 333.87 | 81,145,700 |
